ID;IMPORTO;SOGGETTO;BENEFICIARIO;TIPO
2028;935;297;;carta di credito
2029;25865;646;930;assegno
2030;26995;211;768;bonifico
2031;46755;62;559;bonifico
2032;160;804;938;contante
2033;16528;736;96;bonifico
2034;18060;640;3;bonifico
2035;535;448;;carta di credito
2036;15449;530;889;assegno
2037;175;829;670;contante
2038;7085;829;241;assegno
2039;20925;744;816;assegno
2040;6495;255;656;bonifico
2041;41380;497;18;assegno
2042;29940;971;735;bonifico
2043;725;765;;carta di credito
2044;10765;105;931;assegno
2045;14280;313;911;bonifico
2046;26215;320;692;assegno
2047;53380;153;977;assegno
2048;61530;418;991;assegno
2049;21190;197;237;assegno
2050;300;5;;carta di credito
2051;310;591;4;contante
2052;15985;333;177;bonifico
2053;269;152;901;contante
2054;17831;473;818;assegno
2055;17000;276;512;bonifico
2056;495;791;367;contante
2057;3440;539;598;assegno
2058;315;985;;carta di credito
2059;782;907;;carta di credito
2060;12425;24;981;bonifico
2061;7525;840;716;assegno
2062;205;943;183;contante
2063;28870;617;323;bonifico
2064;9925;546;274;bonifico
2065;15290;546;489;assegno
2066;28587;14;277;assegno
2067;12185;261;749;bonifico
2068;11610;195;358;assegno
2069;5810;122;650;bonifico
2070;12900;367;933;assegno
2071;15545;875;724;bonifico
2072;10995;72;670;assegno
2073;560;34;;carta di credito
2074;64780;711;870;bonifico
2075;11325;850;489;assegno
2076;21095;143;505;bonifico
2077;19770;470;197;bonifico
2078;26659;38;112;assegno
2079;555;958;;carta di credito
2080;15905;85;275;bonifico
2081;225;354;502;contante
2082;420;670;;carta di credito
2083;977;365;;carta di credito
2084;12245;672;839;assegno
2085;16720;949;768;assegno
2086;8378;490;174;assegno
2087;7325;178;176;bonifico
2088;505;962;650;contante
2089;460;856;;carta di credito
2090;18225;535;287;bonifico
2091;14275;670;875;bonifico
2092;51315;485;433;bonifico
2093;17275;979;247;assegno
2094;245;228;;carta di credito
2095;30021;624;678;bonifico
2096;255;926;;carta di credito
2097;16956;770;358;bonifico
2098;4975;946;666;bonifico
2099;2519;529;984;bonifico
2100;280;675;;carta di credito
2101;8515;209;958;bonifico
2102;5150;294;471;bonifico
2103;29080;861;599;assegno
2104;16540;979;888;assegno
2105;21295;364;655;bonifico
2106;14345;34;94;bonifico
2107;560;498;;carta di credito
2108;8945;682;970;assegno
2109;17402;393;271;assegno
2110;15930;307;329;bonifico
2111;170;56;639;contante
2112;3249;739;74;bonifico
2113;45635;541;619;bonifico
2114;18435;643;200;assegno
2115;20110;227;998;assegno
2116;2090;273;811;assegno
2117;12350;541;20;bonifico
2118;19725;259;536;assegno
2119;9515;533;37;bonifico
2120;330;218;90;contante
2121;3183;99;139;assegno
2122;6240;664;581;bonifico
2123;1170;414;;carta di credito
2124;19259;246;953;bonifico
2125;535;672;;carta di credito
2126;33905;702;754;bonifico
2127;160;654;453;contante
2128;11260;453;922;bonifico
2129;440;907;768;contante
2130;7990;258;981;bonifico
2131;29455;772;868;assegno
2132;502;378;549;contante
2133;405;948;;carta di credito
2134;532;845;;carta di credito
2135;26605;413;228;assegno
2136;9460;278;102;bonifico
2137;8573;781;291;bonifico
2138;160;358;982;contante
2139;12090;369;994;bonifico
2140;56960;847;173;assegno
2141;17940;547;40;bonifico
2142;4633;719;416;bonifico
2143;30365;450;703;bonifico
2144;365;128;;carta di credito
2145;25840;51;135;bonifico
2146;300;18;;carta di credito
2147;17410;959;339;assegno
2148;302;642;506;contante
2149;630;842;254;contante
2150;17120;181;666;bonifico
2151;9560;442;555;bonifico
2152;345;702;;carta di credito
2153;434;237;;carta di credito
2154;16005;134;212;assegno
2155;565;988;;carta di credito
2156;12057;321;525;bonifico
2157;480;14;;carta di credito
2158;295;185;506;contante
2159;23910;804;373;bonifico
2160;21340;688;521;bonifico
2161;31285;222;339;bonifico
2162;16632;139;864;assegno
2163;4850;246;882;bonifico
2164;16290;601;316;assegno
2165;14070;898;419;assegno
2166;27902;591;666;assegno
2167;140;243;567;contante
2168;305;911;116;contante
2169;25095;116;588;assegno
2170;9360;674;856;assegno
2171;72165;18;93;assegno
2172;740;578;;carta di credito
2173;14635;83;738;assegno
2174;270;713;17;contante
2175;985;638;;carta di credito
2176;5240;428;683;bonifico
2177;17280;413;904;assegno
2178;57090;846;850;assegno
2179;4775;735;104;assegno
2180;11335;904;764;assegno
2181;11355;795;822;bonifico
2182;5190;888;661;bonifico
2183;39750;417;913;assegno
2184;270;856;651;contante
2185;17030;423;247;bonifico
2186;270;548;;carta di credito
2187;491;71;674;contante
2188;7455;260;193;assegno
2189;16765;209;809;assegno
2190;870;46;;carta di credito
2191;270;989;736;contante
2192;860;829;;carta di credito
2193;1600;129;;carta di credito
2194;320;680;;carta di credito
2195;380;809;829;contante
2196;20450;503;755;assegno
2197;7645;865;164;bonifico
2198;54555;779;220;bonifico
2199;3370;805;807;bonifico
2200;10270;191;219;assegno
2201;393;519;;carta di credito
2202;4875;471;580;bonifico
2203;24875;73;937;assegno
2204;5117;191;557;assegno
2205;5015;421;406;assegno
2206;21630;947;387;bonifico
2207;24875;667;508;bonifico
2208;140;464;;carta di credito
2209;5235;94;905;bonifico
2210;25145;217;621;bonifico
2211;9990;857;897;bonifico
2212;10425;51;947;bonifico
2213;19517;133;79;assegno
2214;285;975;120;contante
2215;14340;817;747;assegno
2216;73173;31;821;bonifico
2217;7965;662;170;bonifico
2218;5580;168;555;assegno
2219;9685;88;837;assegno
2220;830;763;;carta di credito
2221;35190;568;736;bonifico
2222;209;62;584;contante
2223;13405;340;207;bonifico
2224;13870;571;114;assegno
2225;15505;957;735;bonifico
2226;17685;226;905;bonifico
2227;11955;130;565;bonifico
2228;5350;82;578;assegno
2229;28850;962;30;bonifico
2230;21765;713;735;bonifico
2231;19280;279;314;assegno
2232;54230;199;676;assegno
2233;4315;767;372;bonifico
2234;59768;524;633;assegno
2235;985;730;;carta di credito
2236;25026;102;704;assegno
2237;10430;598;871;assegno
2238;13575;908;577;assegno
2239;31900;321;593;bonifico
2240;999;575;;carta di credito
2241;510;759;949;bonifico
2242;4170;952;813;assegno
2243;17910;995;444;assegno
2244;1605;116;;carta di credito
2245;290;418;;carta di credito
2246;23860;683;660;assegno
2247;312;74;;carta di credito
2248;26585;440;344;bonifico
2249;37906;101;355;bonifico
2250;17925;628;855;assegno
2251;7510;421;890;assegno
2252;1900;994;35;bonifico
2253;18245;713;182;bonifico
2254;19145;612;806;assegno
2255;36660;482;679;bonifico
2256;4055;747;323;bonifico
2257;770;281;;carta di credito
2258;17655;555;339;bonifico
2259;44605;513;927;assegno
2260;10605;424;581;bonifico
2261;40155;443;236;bonifico
2262;37790;852;724;bonifico
2263;1036;966;;carta di credito
2264;9505;438;5;bonifico
2265;6200;779;770;bonifico
2266;950;67;;carta di credito
2267;13472;450;271;assegno
2268;25485;766;128;assegno
2269;900;538;;carta di credito
2270;20490;625;995;bonifico
2271;20430;57;523;bonifico
2272;16986;124;260;bonifico
2273;36035;413;273;assegno
2274;1385;390;;carta di credito
2275;8145;908;724;bonifico
2276;43341;777;503;bonifico
2277;14075;534;507;bonifico
2278;365;862;943;contante
2279;24560;62;889;bonifico
2280;61310;957;562;bonifico
2281;6855;262;590;assegno
2282;5170;543;397;bonifico
2283;356;416;;carta di credito
2284;27395;470;59;bonifico
2285;34875;921;356;bonifico
2286;1295;962;;carta di credito
2287;415;635;722;contante
2288;137;575;320;contante
2289;160;236;336;contante
2290;685;666;;carta di credito
2291;18360;674;169;assegno
2292;510;466;642;contante
2293;30985;70;787;bonifico
2294;440;810;;carta di credito
2295;42610;314;528;assegno
2296;570;438;713;contante
2297;37845;406;262;assegno
2298;21020;185;926;assegno
2299;20604;899;569;bonifico
2300;340;858;265;contante
2301;38430;125;128;bonifico
2302;365;871;17;contante
2303;185;179;99;contante
2304;120;886;;carta di credito
2305;205;745;278;contante
2306;1790;570;563;bonifico
2307;350;545;;carta di credito
2308;23750;309;83;bonifico
2309;41940;848;555;bonifico
2310;19980;390;585;bonifico
2311;645;134;;carta di credito
2312;1168;57;19;bonifico
2313;601;419;;carta di credito
2314;330;162;;carta di credito
2315;44689;430;974;bonifico
2316;25596;301;601;assegno
2317;4300;21;754;assegno
2318;265;429;;carta di credito
2319;595;193;467;contante
2320;610;68;534;contante
2321;4133;319;710;bonifico
2322;34620;913;735;bonifico
2323;29875;661;95;assegno
2324;19665;318;744;bonifico
2325;17081;184;580;bonifico
2326;43465;716;763;assegno
2327;18030;261;93;bonifico
2328;21155;964;7;assegno
2329;1495;469;;carta di credito
2330;8875;450;473;bonifico
2331;9980;580;415;bonifico
2332;170;682;319;contante
2333;2235;559;985;bonifico
2334;12310;3;916;bonifico
2335;1140;321;229;bonifico
2336;15210;621;974;bonifico
2337;19157;226;445;bonifico
2338;34080;306;309;bonifico
2339;375;760;;carta di credito
2340;20742;342;742;bonifico
2341;13290;774;657;bonifico
2342;40785;137;256;bonifico
2343;16100;894;349;assegno
2344;7105;647;214;bonifico
2345;11020;495;159;bonifico
2346;500;826;264;contante
2347;420;155;;carta di credito
2348;17000;412;52;bonifico
2349;12835;298;78;bonifico
2350;205;102;;carta di credito
2351;465;686;;carta di credito
2352;430;141;;carta di credito
2353;46150;858;369;assegno
2354;689;179;;carta di credito
2355;208;530;323;contante
2356;897;84;;carta di credito
2357;2790;617;800;bonifico
2358;5480;239;46;assegno
2359;1590;1000;;carta di credito
2360;370;835;;carta di credito
2361;4075;233;320;assegno
2362;25890;617;654;bonifico
2363;315;741;878;contante
2364;14270;408;998;bonifico
2365;1285;171;848;bonifico
2366;38335;577;42;bonifico
2367;1245;804;;carta di credito
2368;12390;331;937;assegno
2369;10095;252;840;assegno
2370;15180;795;667;bonifico
2371;44874;990;776;bonifico
2372;27415;863;736;bonifico
2373;1990;482;867;bonifico
2374;18295;860;908;bonifico
2375;3605;920;17;assegno
2376;475;560;;carta di credito
2377;200;16;;carta di credito
2378;24480;597;70;assegno
2379;7868;922;178;bonifico
2380;12920;535;27;assegno
2381;19775;292;141;assegno
2382;13185;71;680;assegno
2383;360;713;;carta di credito
2384;285;541;762;contante
2385;375;651;;carta di credito
2386;9675;989;271;bonifico
2387;23370;598;583;assegno
2388;1160;891;;carta di credito
2389;6080;525;569;bonifico
2390;361;117;692;contante
2391;6965;905;535;assegno
2392;885;591;;carta di credito
2393;35650;718;74;bonifico
2394;23466;448;557;assegno
2395;19535;796;872;bonifico
2396;285;955;689;contante
2397;7145;82;451;assegno
2398;25618;202;247;bonifico
2399;7420;499;127;assegno
2400;630;272;;carta di credito
2401;14525;276;553;bonifico
2402;23065;252;630;assegno
2403;6810;662;889;bonifico
2404;415;909;1000;contante
2405;735;847;;carta di credito
2406;582;30;;carta di credito
2407;10195;699;157;bonifico
2408;16545;767;227;bonifico
2409;375;772;;carta di credito
2410;10056;62;288;bonifico
2411;39152;31;332;assegno
2412;13210;139;517;bonifico
2413;980;247;;carta di credito
2414;8830;477;853;assegno
2415;425;45;;carta di credito
2416;305;476;291;contante
2417;29502;708;748;assegno
2418;5015;167;594;assegno
2419;17405;334;807;assegno
2420;745;991;;carta di credito
2421;28215;417;521;assegno
2422;305;615;447;contante
2423;475;437;;carta di credito
2424;15905;651;830;assegno
2425;6298;920;369;assegno
2426;340;289;;carta di credito
2427;5454;579;636;assegno
2428;12110;473;689;assegno
2429;16285;369;833;bonifico
2430;4725;572;64;bonifico
2431;15400;900;750;bonifico
2432;3034;182;295;bonifico
2433;240;154;;carta di credito
2434;10390;238;717;assegno
2435;5715;353;593;assegno
2436;545;994;;carta di credito
2437;17900;48;226;bonifico
2438;440;987;;carta di credito
2439;275;232;;carta di credito
2440;26720;66;332;bonifico
2441;14155;546;74;assegno
2442;400;355;;carta di credito
2443;13355;420;405;bonifico
2444;615;653;187;contante
2445;225;855;;carta di credito
2446;12539;571;821;assegno
2447;14225;268;73;bonifico
2448;19790;507;155;assegno
2449;18390;681;662;assegno
2450;195;129;;carta di credito
2451;14672;800;919;bonifico
2452;1812;807;95;assegno
2453;338;957;631;contante
2454;13533;395;662;assegno
2455;6465;996;741;assegno
2456;2010;29;256;assegno
2457;1600;664;463;assegno
2458;14745;77;787;bonifico
2459;1092;548;;carta di credito
2460;275;761;729;contante
2461;42980;483;432;bonifico
2462;7660;730;919;bonifico
2463;3320;375;853;bonifico
2464;60045;639;913;bonifico
2465;555;804;;carta di credito
2466;855;868;;carta di credito
2467;6835;410;531;bonifico
2468;172;777;;carta di credito
2469;950;839;;carta di credito
2470;20954;714;867;assegno
2471;37770;666;381;bonifico
2472;442;983;;carta di credito
2473;14385;159;427;assegno
2474;28815;267;366;bonifico
2475;255;494;700;contante
2476;25695;995;762;bonifico
2477;16120;694;969;bonifico
2478;30525;575;843;assegno
2479;520;869;;carta di credito
2480;245;921;;carta di credito
2481;245;820;102;contante
2482;9380;355;821;bonifico
2483;8660;901;277;assegno
2484;12125;362;561;bonifico
2485;4195;8;642;bonifico
2486;13970;752;606;bonifico
2487;6040;575;173;assegno
2488;770;785;;carta di credito
2489;20315;926;710;bonifico
2490;645;184;;carta di credito
2491;8805;647;937;bonifico
2492;730;177;;carta di credito
2493;30930;209;201;assegno
2494;1309;776;;carta di credito
2495;24990;152;5;bonifico
2496;21959;774;853;assegno
2497;12565;75;95;assegno
2498;185;549;534;contante
2499;41169;991;169;bonifico
2500;9525;150;858;bonifico
2501;30315;473;845;bonifico
2502;23290;275;551;assegno
2503;14995;314;479;assegno
2504;480;661;;carta di credito
2505;8100;682;691;assegno
2506;1205;541;692;assegno
2507;665;489;;carta di credito
2508;25475;809;787;bonifico
2509;10182;723;559;bonifico
2510;12945;903;967;bonifico
2511;476;694;;carta di credito
2512;260;680;936;contante
2513;16435;307;941;bonifico
2514;8985;62;640;bonifico
2515;5267;408;933;bonifico
2516;7750;244;173;bonifico
2517;24480;497;714;bonifico
2518;7132;928;804;bonifico
2519;41090;422;553;assegno
2520;13555;726;14;assegno
2521;33293;734;359;bonifico
2522;430;190;;carta di credito
2523;34945;356;573;assegno
2524;22026;699;620;bonifico
2525;15525;775;512;assegno
2526;5990;568;827;assegno
2527;19202;699;211;assegno
2528;7640;453;104;assegno
2529;13090;91;332;assegno
2530;604;888;;carta di credito
2531;4880;810;830;bonifico
2532;33470;306;709;bonifico
2533;9430;11;823;assegno
2534;23325;220;193;bonifico
2535;31425;3;197;assegno
2536;12685;404;565;bonifico
2537;570;563;;carta di credito
2538;19955;387;886;bonifico
2539;19670;807;837;bonifico
2540;34690;21;901;assegno
2541;21530;370;418;bonifico
2542;19455;364;655;assegno
2543;28945;468;792;bonifico
2544;940;185;;carta di credito
2545;6570;494;976;assegno
2546;340;552;;carta di credito
2547;507;300;;carta di credito
2548;975;450;;carta di credito
2549;37543;156;838;assegno
2550;20742;757;700;bonifico
2551;14640;656;885;bonifico
2552;16900;535;854;assegno
2553;875;360;;carta di credito
2554;45560;278;678;bonifico
2555;11620;301;595;assegno
2556;220;783;343;contante
2557;27590;48;691;bonifico
2558;21395;917;88;bonifico
2559;14445;812;239;bonifico
2560;28665;620;71;assegno
2561;13270;231;656;bonifico
2562;17575;341;124;bonifico
2563;21055;906;502;assegno
2564;57940;614;452;bonifico
2565;345;944;507;contante
2566;18240;461;867;assegno
2567;16830;423;747;bonifico
2568;1375;326;;carta di credito
2569;16310;48;827;assegno
2570;205;961;;carta di credito
2571;375;961;118;contante
2572;11585;690;822;bonifico
2573;205;863;35;contante
2574;22002;613;55;bonifico
2575;22495;373;758;assegno
2576;7735;311;925;assegno
2577;22125;543;772;bonifico
2578;620;156;;carta di credito
2579;8487;384;192;assegno
2580;9024;11;888;bonifico
2581;425;84;;carta di credito
2582;25610;640;455;bonifico
2583;365;957;;carta di credito
2584;7170;93;307;assegno
2585;19330;300;261;bonifico
2586;26240;674;35;assegno
2587;3755;440;515;assegno
2588;500;439;591;contante
2589;37841;464;469;assegno
2590;609;6;;carta di credito
2591;30335;627;136;bonifico
2592;5569;647;222;assegno
2593;5950;507;826;assegno
2594;1425;764;;carta di credito
2595;11490;10;585;assegno
2596;21145;460;595;bonifico
2597;3300;764;223;bonifico
2598;34200;42;738;bonifico
2599;26350;578;927;assegno
2600;21805;210;433;bonifico
2601;415;346;;carta di credito
2602;495;261;320;contante
2603;9185;244;98;assegno
2604;12615;786;970;bonifico
2605;13400;625;25;assegno
2606;20440;627;779;bonifico
2607;385;377;;carta di credito
2608;10327;73;818;bonifico
2609;440;662;;carta di credito
2610;616;957;;carta di credito
2611;10220;760;903;assegno
2612;1520;8;;carta di credito
2613;7545;561;722;bonifico
2614;4780;753;733;bonifico
2615;45465;991;973;bonifico
2616;375;346;130;contante
2617;17720;63;941;assegno
2618;737;589;;carta di credito
2619;294;703;;carta di credito
2620;25706;782;334;bonifico
2621;21215;294;130;bonifico
2622;17740;896;182;bonifico
2623;340;184;104;contante
2624;145;778;;carta di credito
2625;27085;111;992;bonifico
2626;17385;927;685;bonifico
2627;935;608;;carta di credito
2628;12731;396;341;assegno
2629;160;829;78;contante
2630;6070;404;113;bonifico
2631;37331;862;249;bonifico
2632;11884;348;833;assegno
2633;12315;613;902;bonifico
2634;14405;723;325;assegno
2635;29965;6;529;bonifico
2636;26785;647;613;bonifico
2637;630;49;;carta di credito
2638;17735;797;667;bonifico
2639;177;152;224;contante
2640;13623;41;340;bonifico
2641;13435;841;224;bonifico
2642;780;124;;carta di credito
2643;17005;418;616;bonifico
2644;11750;70;414;assegno
2645;573;262;138;contante
2646;840;828;;carta di credito
2647;11830;674;868;assegno
2648;190;772;450;contante
2649;17412;661;37;assegno
2650;14100;630;870;bonifico
2651;6895;468;518;bonifico
2652;6680;470;332;assegno
2653;395;341;665;contante
2654;21800;866;557;bonifico
2655;6015;623;376;bonifico
2656;53089;543;78;assegno
2657;740;419;;carta di credito
2658;13615;962;851;bonifico
2659;16778;962;269;bonifico
2660;440;873;;carta di credito
2661;48365;140;574;bonifico
2662;295;340;226;contante
2663;10460;687;265;bonifico
2664;20355;776;559;assegno
2665;24005;261;889;assegno
2666;22740;112;519;bonifico
2667;290;154;978;contante
2668;7550;884;72;assegno
2669;10015;83;640;assegno
2670;430;860;;carta di credito
2671;235;522;528;contante
2672;1800;500;742;bonifico
2673;370;798;;carta di credito
2674;355;979;;carta di credito
2675;19555;215;291;bonifico
2676;20250;963;2;bonifico
2677;148;423;;carta di credito
2678;245;333;;carta di credito
2679;24164;857;256;assegno
2680;31920;521;803;assegno
2681;36565;155;299;bonifico
2682;17335;918;691;bonifico
2683;8435;116;712;bonifico
2684;5728;798;70;assegno
2685;8845;463;763;bonifico
2686;490;798;;carta di credito
2687;3810;282;956;assegno
2688;29570;78;88;bonifico
2689;10730;903;213;bonifico
2690;22500;627;225;bonifico
2691;23685;670;452;bonifico
2692;25619;988;579;bonifico
2693;17361;170;354;bonifico
2694;25490;93;299;bonifico
2695;16679;914;675;bonifico
2696;6450;574;616;bonifico
2697;19260;510;432;assegno
2698;18005;559;976;assegno
2699;725;531;;carta di credito
2700;3800;983;222;bonifico
2701;10630;275;882;assegno
2702;12895;648;294;bonifico
2703;45565;964;54;bonifico
2704;3445;324;808;bonifico
2705;5825;865;84;bonifico
2706;15290;857;589;assegno
2707;420;589;;carta di credito
2708;280;657;503;contante
2709;715;812;;carta di credito
2710;13750;839;725;bonifico
2711;13795;956;569;assegno
2712;11220;918;76;bonifico
2713;12860;947;205;bonifico
2714;21130;961;821;bonifico
2715;19683;103;664;bonifico
2716;14985;466;376;bonifico
2717;12200;939;358;assegno
2718;33845;866;63;assegno
2719;4911;647;419;assegno
2720;825;698;;carta di credito
2721;13660;912;4;bonifico
2722;665;211;;carta di credito
2723;17270;527;856;bonifico
2724;26600;309;248;bonifico
2725;18124;477;575;bonifico
2726;455;957;;carta di credito
2727;360;481;;carta di credito
2728;210;232;319;contante
2729;601;739;;carta di credito
2730;55925;624;839;assegno
2731;6865;714;277;bonifico
2732;8380;285;293;assegno
2733;9265;451;699;bonifico
2734;790;13;;carta di credito
2735;6775;558;224;assegno
2736;52500;566;439;bonifico
2737;810;200;;carta di credito
2738;210;858;351;contante
2739;4485;309;234;bonifico
2740;515;915;;carta di credito
2741;15838;140;227;bonifico
2742;160;696;785;contante
2743;6835;904;370;assegno
2744;5240;964;237;bonifico
2745;2395;223;;carta di credito
2746;12653;199;349;assegno
2747;12115;588;114;bonifico
2748;14305;364;339;bonifico
2749;1225;817;744;bonifico
2750;18290;347;742;assegno
2751;11421;611;433;bonifico
2752;15255;944;595;assegno
2753;24470;543;328;bonifico
2754;30395;888;690;assegno
2755;9520;429;871;bonifico
2756;425;967;1000;contante
2757;7820;923;813;assegno
2758;12135;355;792;bonifico
2759;190;699;291;contante
2760;8403;570;50;assegno
2761;140;23;120;contante
2762;16740;282;338;bonifico
2763;255;896;;carta di credito
2764;7320;430;424;assegno
2765;22875;816;902;assegno
2766;8625;853;255;assegno
2767;22925;553;966;assegno
2768;310;685;719;contante
2769;37638;243;612;assegno
2770;15580;267;397;bonifico
2771;6265;688;603;bonifico
2772;20555;530;285;assegno
2773;12700;549;675;bonifico
2774;31128;233;925;assegno
2775;355;961;594;contante
2776;24050;11;540;assegno
2777;13720;191;286;bonifico
2778;635;234;;carta di credito
2779;20845;466;770;bonifico
2780;1100;798;;carta di credito
2781;38693;239;4;bonifico
2782;6795;217;406;bonifico
2783;820;727;;carta di credito
2784;28065;223;548;bonifico
2785;400;211;732;contante
2786;8025;969;827;bonifico
2787;500;621;19;contante
2788;21228;998;726;assegno
2789;589;399;897;contante
2790;611;708;;carta di credito
2791;20545;863;713;assegno
2792;635;558;;carta di credito
2793;27465;474;148;bonifico
2794;495;729;;carta di credito
2795;35480;760;994;assegno
2796;5625;485;889;assegno
2797;7920;400;533;assegno
2798;13995;713;216;assegno
2799;2090;962;;carta di credito
2800;10500;722;19;assegno
2801;26105;140;96;assegno
2802;13080;603;6;bonifico
2803;355;587;836;contante
2804;23090;348;239;bonifico
2805;13440;413;903;bonifico
2806;39390;823;571;bonifico
2807;395;444;;carta di credito
2808;655;985;;carta di credito
2809;12370;184;786;assegno
2810;410;631;542;contante
2811;15480;769;811;bonifico
2812;3022;317;803;assegno
2813;31325;461;39;assegno
2814;21110;237;584;assegno
2815;565;796;301;contante
2816;38195;218;408;assegno
2817;44409;774;609;bonifico
2818;295;564;;carta di credito
2819;405;330;76;contante
2820;17363;879;567;bonifico
2821;15327;330;19;assegno
2822;35460;660;379;assegno
2823;5495;568;746;assegno
2824;21005;121;585;bonifico
2825;737;256;;carta di credito
2826;20955;697;487;assegno
2827;12180;722;247;assegno
2828;25180;915;187;bonifico
2829;32065;787;579;bonifico
2830;600;207;;carta di credito
2831;6715;365;822;assegno
2832;16035;288;475;assegno
2833;22697;296;417;bonifico
2834;12235;660;503;bonifico
2835;310;722;;carta di credito
2836;4105;77;99;bonifico
2837;5360;276;700;bonifico
2838;16410;767;370;bonifico
2839;9665;455;103;bonifico
2840;660;429;;carta di credito
2841;274;898;;carta di credito
2842;20105;34;735;bonifico
2843;26565;479;291;bonifico
2844;29252;644;435;assegno
2845;15025;440;683;bonifico
2846;11061;36;904;bonifico
2847;11570;247;225;bonifico
2848;345;667;606;contante
2849;14107;179;837;assegno
2850;7785;770;297;assegno
2851;5705;666;807;bonifico
2852;29252;248;366;bonifico
2853;14155;432;173;bonifico
2854;4210;438;95;bonifico
2855;13775;613;228;assegno
2856;29665;82;415;assegno
2857;680;707;;carta di credito
2858;160;435;194;contante
2859;234;674;;carta di credito
2860;29130;190;125;bonifico
2861;555;575;;carta di credito
2862;9920;644;64;assegno
2863;14548;206;270;assegno
2864;14047;204;786;assegno
2865;730;998;;carta di credito
2866;48620;325;719;bonifico
2867;19347;810;970;bonifico
2868;12350;10;5;bonifico
2869;16205;625;947;assegno
2870;1340;899;;carta di credito
2871;13690;869;182;bonifico
2872;264;423;;carta di credito
2873;8625;714;289;bonifico
2874;17500;963;693;assegno
2875;895;296;;carta di credito
2876;30145;70;585;bonifico
2877;1850;49;958;bonifico
2878;28780;324;470;assegno
2879;12032;1000;484;assegno
2880;5975;629;950;bonifico
2881;1380;664;;carta di credito
2882;19680;770;533;assegno
2883;6620;164;299;assegno
2884;25500;277;307;bonifico
2885;26265;62;760;assegno
2886;6085;627;248;bonifico
2887;400;509;278;contante
2888;1645;974;;carta di credito
2889;570;608;199;contante
2890;197;603;119;contante
2891;12800;324;27;bonifico
2892;17650;545;941;bonifico
2893;9585;79;736;assegno
2894;6405;309;140;bonifico
2895;190;966;;carta di credito
2896;390;856;;carta di credito
2897;11735;373;229;assegno
2898;704;949;;carta di credito
2899;49780;226;408;bonifico
2900;5625;904;911;assegno
2901;23152;823;307;bonifico
2902;3217;360;740;bonifico
2903;15545;140;423;bonifico
2904;145;263;355;contante
2905;500;20;;carta di credito
2906;635;309;;carta di credito
2907;21100;369;876;assegno
2908;360;774;;carta di credito
2909;13060;858;492;bonifico
2910;750;787;;carta di credito
2911;15860;394;726;bonifico
2912;215;276;124;contante
2913;7535;514;692;bonifico
2914;24440;721;585;assegno
2915;16440;244;509;bonifico
2916;13425;225;529;bonifico
2917;4166;363;608;assegno
2918;280;998;986;contante
2919;24385;857;202;assegno
2920;865;118;;carta di credito
2921;18235;565;362;assegno
2922;1330;764;;carta di credito
2923;14290;150;928;bonifico
2924;1255;547;788;bonifico
2925;40005;110;77;assegno
2926;9860;905;612;bonifico
2927;5465;81;685;assegno
2928;29514;321;266;bonifico
2929;26640;919;898;bonifico
2930;375;709;53;contante
2931;25524;67;123;assegno
2932;495;930;;carta di credito
2933;7620;545;265;assegno
2934;230;964;889;contante
2935;11360;285;872;bonifico
2936;485;506;;carta di credito
2937;1795;48;7;assegno
2938;4515;453;241;bonifico
2939;21115;78;433;bonifico
2940;295;760;;carta di credito
2941;23330;531;856;bonifico
2942;8235;205;606;assegno
2943;24310;408;973;bonifico
2944;1420;1000;;carta di credito
2945;7415;925;452;bonifico
2946;705;291;829;contante
2947;3730;426;371;assegno
2948;20180;983;974;assegno
2949;705;368;;carta di credito
2950;29450;807;482;bonifico
2951;17990;485;821;bonifico
2952;47715;925;97;bonifico
2953;3670;71;497;bonifico
2954;538;869;;carta di credito
2955;1100;682;;carta di credito
2956;14605;904;76;bonifico
2957;369;249;;carta di credito
2958;27085;255;509;bonifico
2959;870;628;;carta di credito
2960;9105;739;612;assegno
2961;2930;816;15;bonifico
2962;318;358;732;contante
2963;6190;573;93;assegno
2964;27677;623;912;bonifico
2965;10325;856;897;bonifico
2966;5260;393;543;bonifico
2967;13010;750;239;bonifico
2968;30225;322;25;bonifico
2969;494;216;487;contante
2970;10720;711;787;bonifico
2971;85945;675;560;assegno
2972;7805;570;740;bonifico
2973;47415;699;47;bonifico
2974;15760;952;130;bonifico
2975;47195;429;475;bonifico
2976;1095;247;;carta di credito
2977;105;484;;carta di credito
2978;585;943;;carta di credito
2979;18080;314;585;assegno
2980;180;331;65;contante
2981;9925;598;304;bonifico
2982;7930;356;734;bonifico
2983;42010;592;305;bonifico
2984;19625;426;734;bonifico
2985;375;370;;carta di credito
2986;27680;476;683;assegno
2987;540;527;;carta di credito
2988;10595;20;824;bonifico
2989;10630;750;726;bonifico
2990;394;858;;carta di credito
2991;34245;247;528;assegno
2992;7905;34;88;bonifico
2993;5630;110;244;bonifico
2994;265;318;943;contante
2995;21198;222;177;bonifico
2996;17365;273;815;bonifico
2997;2640;84;597;bonifico
2998;12970;548;138;bonifico
2999;8035;726;677;assegno
3000;13660;602;199;bonifico
3001;30655;900;28;bonifico
3002;17460;800;33;bonifico
3003;19950;110;975;bonifico
3004;516;170;;carta di credito
3005;6025;505;693;bonifico
3006;22960;860;64;assegno
3007;185;158;909;contante
3008;125;755;472;contante
